symbol,company,industry,series,isin
COFORGE,Coforge Ltd.,Information Technology,EQ,INE591G01025
COHANCE,Cohance Lifesciences Ltd.,Healthcare,EQ,INE03QK01018
COLPAL,Colgate Palmolive (India) Ltd.,Fast Moving Consumer Goods,EQ,INE259A01022
CAMS,Computer Age Management Services Ltd.,Financial Services,EQ,INE596I01020
CONCORDBIO,Concord Biotech Ltd.,Healthcare,EQ,INE338H01029
CONCOR,Container Corporation of India Ltd.,Services,EQ,INE111A01025
COROMANDEL,Coromandel International Ltd.,Chemicals,EQ,INE169A01031
CRAFTSMAN,Craftsman Automation Ltd.,Automobile and Auto Components,EQ,INE00LO01017
CREDITACC,CreditAccess Grameen Ltd.,Financial Services,EQ,INE741K01010
CROMPTON,Crompton Greaves Consumer Electricals Ltd.,Consumer Durables,EQ,INE299U01018
CUMMINSIND,Cummins India Ltd.,Capital Goods,EQ,INE298A01020
CYIENT,Cyient Ltd.,Information Technology,EQ,INE136B01020
DCMSHRIRAM,DCM Shriram Ltd.,Diversified,EQ,INE499A01024
DLF,DLF Ltd.,Realty,EQ,INE271C01023
DOMS,DOMS Industries Ltd.,Fast Moving Consumer Goods,EQ,INE321T01012
DABUR,Dabur India Ltd.,Fast Moving Consumer Goods,EQ,INE016A01026
DALBHARAT,Dalmia Bharat Ltd.,Construction Materials,EQ,INE00R701025
DATAPATTNS,Data Patterns (India) Ltd.,Capital Goods,EQ,INE0IX101010
DEEPAKFERT,Deepak Fertilisers & Petrochemicals Corp. Ltd.,Chemicals,EQ,INE501A01019
DEEPAKNTR,Deepak Nitrite Ltd.,Chemicals,EQ,INE288B01029
DELHIVERY,Delhivery Ltd.,Services,EQ,INE148O01028
DEVYANI,Devyani International Ltd.,Consumer Services,EQ,INE872J01023
DIVISLAB,Divi's Laboratories Ltd.,Healthcare,EQ,INE361B01024
DIXON,Dixon Technologies (India) Ltd.,Consumer Durables,EQ,INE935N01020
LALPATHLAB,Dr. Lal Path Labs Ltd.,Healthcare,EQ,INE600L01024
DRREDDY,Dr. Reddy's Laboratories Ltd.,Healthcare,EQ,INE089A01031
EIDPARRY,E.I.D. Parry (India) Ltd.,Fast Moving Consumer Goods,EQ,INE126A01031
EIHOTEL,EIH Ltd.,Consumer Services,EQ,INE230A01023
EICHERMOT,Eicher Motors Ltd.,Automobile and Auto Components,EQ,INE066A01021
ELECON,Elecon Engineering Co. Ltd.,Capital Goods,EQ,INE205B01031
ELGIEQUIP,Elgi Equipments Ltd.,Capital Goods,EQ,INE285A01027
EMAMILTD,Emami Ltd.,Fast Moving Consumer Goods,EQ,INE548C01032
EMCURE,Emcure Pharmaceuticals Ltd.,Healthcare,EQ,INE168P01015
EMMVEE,Emmvee Photovoltaic Power Ltd.,Capital Goods,EQ,INE1C6T01020
ENDURANCE,Endurance Technologies Ltd.,Automobile and Auto Components,EQ,INE913H01037
ENGINERSIN,Engineers India Ltd.,Construction,EQ,INE510A01028
ERIS,Eris Lifesciences Ltd.,Healthcare,EQ,INE406M01024
ESCORTS,Escorts Kubota Ltd.,Capital Goods,EQ,INE042A01014
ETERNAL,Eternal Ltd.,Consumer Services,EQ,INE758T01015
EXIDEIND,Exide Industries Ltd.,Automobile and Auto Components,EQ,INE302A01020
NYKAA,FSN E-Commerce Ventures Ltd.,Consumer Services,EQ,INE388Y01029
FEDERALBNK,Federal Bank Ltd.,Financial Services,EQ,INE171A01029
FACT,Fertilisers and Chemicals Travancore Ltd.,Chemicals,EQ,INE188A01015
FINCABLES,Finolex Cables Ltd.,Capital Goods,EQ,INE235A01022
FSL,Firstsource Solutions Ltd.,Services,EQ,INE684F01012
FIVESTAR,Five-Star Business Finance Ltd.,Financial Services,EQ,INE128S01021
FORCEMOT,Force Motors Ltd.,Automobile and Auto Components,EQ,INE451A01017
FORTIS,Fortis Healthcare Ltd.,Healthcare,EQ,INE061F01013
GAIL,GAIL (India) Ltd.,Oil Gas & Consumable Fuels,EQ,INE129A01019
GVT&D,GE Vernova T&D India Ltd.,Capital Goods,EQ,INE200A01026
GMRAIRPORT,GMR Airports Ltd.,Services,EQ,INE776C01039
GABRIEL,Gabriel India Ltd.,Automobile and Auto Components,EQ,INE524A01029
GALLANTT,Gallantt Ispat Ltd.,Capital Goods,EQ,INE297H01019
GRSE,Garden Reach Shipbuilders & Engineers Ltd.,Capital Goods,EQ,INE382Z01011
GICRE,General Insurance Corporation of India,Financial Services,EQ,INE481Y01014
GILLETTE,Gillette India Ltd.,Fast Moving Consumer Goods,EQ,INE322A01010
GLAND,Gland Pharma Ltd.,Healthcare,EQ,INE068V01023
GLAXO,Glaxosmithkline Pharmaceuticals Ltd.,Healthcare,EQ,INE159A01016
GLENMARK,Glenmark Pharmaceuticals Ltd.,Healthcare,EQ,INE935A01035
MEDANTA,Global Health Ltd.,Healthcare,EQ,INE474Q01031
GODIGIT,Go Digit General Insurance Ltd.,Financial Services,EQ,INE03JT01014
GPIL,Godawari Power & Ispat Ltd.,Capital Goods,EQ,INE177H01039
GODFRYPHLP,Godfrey Phillips India Ltd.,Fast Moving Consumer Goods,EQ,INE260B01028
GODREJCP,Godrej Consumer Products Ltd.,Fast Moving Consumer Goods,EQ,INE102D01028
GODREJIND,Godrej Industries Ltd.,Diversified,EQ,INE233A01035
GODREJPROP,Godrej Properties Ltd.,Realty,EQ,INE484J01027
GRANULES,Granules India Ltd.,Healthcare,EQ,INE101D01020
GRAPHITE,Graphite India Ltd.,Capital Goods,EQ,INE371A01025
GRASIM,Grasim Industries Ltd.,Construction Materials,EQ,INE047A01021
GRAVITA,Gravita India Ltd.,Metals & Mining,EQ,INE024L01027
GESHIP,Great Eastern Shipping Co. Ltd.,Services,EQ,INE017A01032
FLUOROCHEM,Gujarat Fluorochemicals Ltd.,Chemicals,EQ,INE09N301011
GMDCLTD,Gujarat Mineral Development Corporation Ltd.,Metals & Mining,EQ,INE131A01031
HEG,H.E.G. Ltd.,Capital Goods,EQ,INE545A01024
HBLENGINE,HBL Engineering Ltd.,Capital Goods,EQ,INE292B01021
HCLTECH,HCL Technologies Ltd.,Information Technology,EQ,INE860A01027
HDBFS,HDB Financial Services Ltd.,Financial Services,EQ,INE756I01012
HDFCAMC,HDFC Asset Management Company Ltd.,Financial Services,EQ,INE127D01025
HDFCBANK,HDFC Bank Ltd.,Financial Services,EQ,INE040A01034
HDFCLIFE,HDFC Life Insurance Company Ltd.,Financial Services,EQ,INE795G01014
HFCL,HFCL Ltd.,Telecommunication,EQ,INE548A01028
HAVELLS,Havells India Ltd.,Consumer Durables,EQ,INE176B01034
HEROMOTOCO,Hero MotoCorp Ltd.,Automobile and Auto Components,EQ,INE158A01026
HEXT,Hexaware Technologies Ltd.,Information Technology,EQ,INE093A01041
HSCL,Himadri Speciality Chemical Ltd.,Chemicals,EQ,INE019C01026
HINDALCO,Hindalco Industries Ltd.,Metals & Mining,EQ,INE038A01020
HAL,Hindustan Aeronautics Ltd.,Capital Goods,EQ,INE066F01020
HINDCOPPER,Hindustan Copper Ltd.,Metals & Mining,EQ,INE531E01026
HINDPETRO,Hindustan Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,EQ,INE094A01015
HINDUNILVR,Hindustan Unilever Ltd.,Fast Moving Consumer Goods,EQ,INE030A01027
HINDZINC,Hindustan Zinc Ltd.,Metals & Mining,EQ,INE267A01025
POWERINDIA,Hitachi Energy India Ltd.,Capital Goods,EQ,INE07Y701011
HOMEFIRST,Home First Finance Company India Ltd.,Financial Services,EQ,INE481N01025
HONASA,Honasa Consumer Ltd.,Fast Moving Consumer Goods,EQ,INE0J5401028
HONAUT,Honeywell Automation India Ltd.,Capital Goods,EQ,INE671A01010
HUDCO,Housing & Urban Development Corporation Ltd.,Financial Services,EQ,INE031A01017
HYUNDAI,Hyundai Motor India Ltd.,Automobile and Auto Components,EQ,INE0V6F01027
ICICIBANK,ICICI Bank Ltd.,Financial Services,EQ,INE090A01021
ICICIGI,ICICI Lombard General Insurance Company Ltd.,Financial Services,EQ,INE765G01017
ICICIAMC,ICICI Prudential Asset Management Company Ltd.,Financial Services,EQ,INE346A01027
ICICIPRULI,ICICI Prudential Life Insurance Company Ltd.,Financial Services,EQ,INE726G01019
IDBI,IDBI Bank Ltd.,Financial Services,EQ,INE008A01015
IDFCFIRSTB,IDFC First Bank Ltd.,Financial Services,EQ,INE092T01019
IFCI,IFCI Ltd.,Financial Services,EQ,INE039A01010
IIFL,IIFL Finance Ltd.,Financial Services,EQ,INE530B01024
IRB,IRB Infrastructure Developers Ltd.,Construction,EQ,INE821I01022
IRCON,IRCON International Ltd.,Construction,EQ,INE962Y01021
ITCHOTELS,ITC Hotels Ltd.,Consumer Services,EQ,INE379A01028
ITC,ITC Ltd.,Fast Moving Consumer Goods,EQ,INE154A01025
ITI,ITI Ltd.,Telecommunication,EQ,INE248A01017
INDGN,Indegene Ltd.,Healthcare,EQ,INE065X01017
INDIACEM,India Cements Ltd.,Construction Materials,EQ,INE383A01012
INDIAMART,Indiamart Intermesh Ltd.,Consumer Services,EQ,INE933S01016
INDIANB,Indian Bank,Financial Services,EQ,INE562A01011
IEX,Indian Energy Exchange Ltd.,Financial Services,EQ,INE022Q01020
INDHOTEL,Indian Hotels Co. Ltd.,Consumer Services,EQ,INE053A01029
IOC,Indian Oil Corporation Ltd.,Oil Gas & Consumable Fuels,EQ,INE242A01010
IOB,Indian Overseas Bank,Financial Services,EQ,INE565A01014
IRCTC,Indian Railway Catering And Tourism Corporation Ltd.,Consumer Services,EQ,INE335Y01020
IRFC,Indian Railway Finance Corporation Ltd.,Financial Services,EQ,INE053F01010
IREDA,Indian Renewable Energy Development Agency Ltd.,Financial Services,EQ,INE202E01016
IGL,Indraprastha Gas Ltd.,Oil Gas & Consumable Fuels,EQ,INE203G01027
INDUSTOWER,Indus Towers Ltd.,Telecommunication,EQ,INE121J01017
INDUSINDBK,IndusInd Bank Ltd.,Financial Services,EQ,INE095A01012
NAUKRI,Info Edge (India) Ltd.,Consumer Services,EQ,INE663F01032
INFY,Infosys Ltd.,Information Technology,EQ,INE009A01021
INOXWIND,Inox Wind Ltd.,Capital Goods,EQ,INE066P01011
INTELLECT,Intellect Design Arena Ltd.,Information Technology,EQ,INE306R01017
INDIGO,InterGlobe Aviation Ltd.,Services,EQ,INE646L01027
IGIL,International Gemological Institute Ltd.,Services,EQ,INE0Q9301021
IKS,Inventurus Knowledge Solutions Ltd.,Information Technology,EQ,INE115Q01022
IPCALAB,Ipca Laboratories Ltd.,Healthcare,EQ,INE571A01038
JBCHEPHARM,J.B. Chemicals & Pharmaceuticals Ltd.,Healthcare,EQ,INE572A01036
JKCEMENT,J.K. Cement Ltd.,Construction Materials,EQ,INE823G01014
JBMA,JBM Auto Ltd.,Automobile and Auto Components,EQ,INE927D01051
JKTYRE,JK Tyre & Industries Ltd.,Automobile and Auto Components,EQ,INE573A01042
JMFINANCIL,JM Financial Ltd.,Financial Services,EQ,INE780C01023
JSWCEMENT,JSW Cement Ltd.,Construction Materials,EQ,INE718I01012
JSWDULUX,JSW Dulux Ltd.,Consumer Durables,EQ,INE133A01011
JSWENERGY,JSW Energy Ltd.,Power,EQ,INE121E01018
JSWINFRA,JSW Infrastructure Ltd.,Services,EQ,INE880J01026
JSWSTEEL,JSW Steel Ltd.,Metals & Mining,EQ,INE019A01038
JAINREC,Jain Resource Recycling Ltd.,Metals & Mining,EQ,INE0YD401026
JPPOWER,Jaiprakash Power Ventures Ltd.,Power,EQ,INE351F01018
J&KBANK,Jammu & Kashmir Bank Ltd.,Financial Services,EQ,INE168A01041
JINDALSAW,Jindal Saw Ltd.,Capital Goods,EQ,INE324A01032
JSL,Jindal Stainless Ltd.,Metals & Mining,EQ,INE220G01021
JINDALSTEL,Jindal Steel Ltd.,Metals & Mining,EQ,INE749A01030
JIOFIN,Jio Financial Services Ltd.,Financial Services,EQ,INE758E01017
JUBLFOOD,Jubilant Foodworks Ltd.,Consumer Services,EQ,INE797F01020
JUBLINGREA,Jubilant Ingrevia Ltd.,Chemicals,EQ,INE0BY001018
JUBLPHARMA,Jubilant Pharmova Ltd.,Healthcare,EQ,INE700A01033
JWL,Jupiter Wagons Ltd.,Capital Goods,EQ,INE209L01016
JYOTICNC,Jyoti CNC Automation Ltd.,Capital Goods,EQ,INE980O01024
KPRMILL,K.P.R. Mill Ltd.,Textiles,EQ,INE930H01031
KEI,KEI Industries Ltd.,Capital Goods,EQ,INE878B01027
KPITTECH,KPIT Technologies Ltd.,Information Technology,EQ,INE04I401011
KAJARIACER,Kajaria Ceramics Ltd.,Consumer Durables,EQ,INE217B01036
KPIL,Kalpataru Projects International Ltd.,Construction,EQ,INE220B01022
KALYANKJIL,Kalyan Jewellers India Ltd.,Consumer Durables,EQ,INE303R01014
KARURVYSYA,Karur Vysya Bank Ltd.,Financial Services,EQ,INE036D01028
KAYNES,Kaynes Technology India Ltd.,Capital Goods,EQ,INE918Z01012
KEC,Kec International Ltd.,Construction,EQ,INE389H01022
KFINTECH,Kfin Technologies Ltd.,Financial Services,EQ,INE138Y01010
KIRLOSENG,Kirloskar Oil Eng Ltd.,Capital Goods,EQ,INE146L01010
KOTAKBANK,Kotak Mahindra Bank Ltd.,Financial Services,EQ,INE237A01036
KIMS,Krishna Institute of Medical Sciences Ltd.,Healthcare,EQ,INE967H01025
LTF,L&T Finance Ltd.,Financial Services,EQ,INE498L01015
LTTS,L&T Technology Services Ltd.,Information Technology,EQ,INE010V01017
LGEINDIA,LG Electronics India Ltd.,Consumer Durables,EQ,INE324D01010
LICHSGFIN,LIC Housing Finance Ltd.,Financial Services,EQ,INE115A01026
LTFOODS,LT Foods Ltd.,Fast Moving Consumer Goods,EQ,INE818H01020
LTM,LTM Ltd.,Information Technology,EQ,INE214T01019
LT,Larsen & Toubro Ltd.,Construction,EQ,INE018A01030
LATENTVIEW,Latent View Analytics Ltd.,Information Technology,EQ,INE0I7C01011
LAURUSLABS,Laurus Labs Ltd.,Healthcare,EQ,INE947Q01028
THELEELA,Leela Palaces Hotels & Resorts Ltd.,Consumer Services,EQ,INE0AQ201015
LEMONTREE,Lemon Tree Hotels Ltd.,Consumer Services,EQ,INE970X01018
LENSKART,Lenskart Solutions Ltd.,Consumer Services,EQ,INE956O01016
LICI,Life Insurance Corporation of India,Financial Services,EQ,INE0J1Y01017
LINDEINDIA,Linde India Ltd.,Chemicals,EQ,INE473A01011
LLOYDSME,Lloyds Metals And Energy Ltd.,Metals & Mining,EQ,INE281B01032
LODHA,Lodha Developers Ltd.,Realty,EQ,INE670K01029
LUPIN,Lupin Ltd.,Healthcare,EQ,INE326A01037
MMTC,MMTC Ltd.,Services,EQ,INE123F01029
MRF,MRF Ltd.,Automobile and Auto Components,EQ,INE883A01011
MGL,Mahanagar Gas Ltd.,Oil Gas & Consumable Fuels,EQ,INE002S01010
M&MFIN,Mahindra & Mahindra Financial Services Ltd.,Financial Services,EQ,INE774D01024
M&M,Mahindra & Mahindra Ltd.,Automobile and Auto Components,EQ,INE101A01026
MANAPPURAM,Manappuram Finance Ltd.,Financial Services,EQ,INE522D01027
MRPL,Mangalore Refinery & Petrochemicals Ltd.,Oil Gas & Consumable Fuels,EQ,INE103A01014
MANKIND,Mankind Pharma Ltd.,Healthcare,EQ,INE634S01028
MARICO,Marico Ltd.,Fast Moving Consumer Goods,EQ,INE196A01026
MARUTI,Maruti Suzuki India Ltd.,Automobile and Auto Components,EQ,INE585B01010
MFSL,Max Financial Services Ltd.,Financial Services,EQ,INE180A01020
MAXHEALTH,Max Healthcare Institute Ltd.,Healthcare,EQ,INE027H01010
MAZDOCK,Mazagoan Dock Shipbuilders Ltd.,Capital Goods,EQ,INE249Z01020
MEESHO,Meesho Ltd.,Consumer Services,EQ,INE0VDM01015
MINDACORP,Minda Corporation Ltd.,Automobile and Auto Components,EQ,INE842C01021
MSUMI,Motherson Sumi Wiring India Ltd.,Automobile and Auto Components,EQ,INE0FS801015
MOTILALOFS,Motilal Oswal Financial Services Ltd.,Financial Services,EQ,INE338I01027
MPHASIS,MphasiS Ltd.,Information Technology,EQ,INE356A01018
MCX,Multi Commodity Exchange of India Ltd.,Financial Services,EQ,INE745G01043
MUTHOOTFIN,Muthoot Finance Ltd.,Financial Services,EQ,INE414G01012
NATCOPHARM,NATCO Pharma Ltd.,Healthcare,EQ,INE987B01026
NBCC,NBCC (India) Ltd.,Construction,EQ,INE095N01031
NCC,NCC Ltd.,Construction,EQ,INE868B01028
NHPC,NHPC Ltd.,Power,EQ,INE848E01016
NLCINDIA,NLC India Ltd.,Power,EQ,INE589A01014
NMDC,NMDC Ltd.,Metals & Mining,EQ,INE584A01023
NSLNISP,NMDC Steel Ltd.,Metals & Mining,EQ,INE0NNS01018
NTPCGREEN,NTPC Green Energy Ltd.,Power,EQ,INE0ONG01011
NTPC,NTPC Ltd.,Power,EQ,INE733E01010
NH,Narayana Hrudayalaya Ltd.,Healthcare,EQ,INE410P01011
NATIONALUM,National Aluminium Co. Ltd.,Metals & Mining,EQ,INE139A01034
NAVA,Nava Ltd.,Power,EQ,INE725A01030
NAVINFLUOR,Navin Fluorine International Ltd.,Chemicals,EQ,INE048G01026
NESTLEIND,Nestle India Ltd.,Fast Moving Consumer Goods,EQ,INE239A01024
NETWEB,Netweb Technologies India Ltd.,Information Technology,EQ,INE0NT901020
NEULANDLAB,Neuland Laboratories Ltd.,Healthcare,EQ,INE794A01010
NEWGEN,Newgen Software Technologies Ltd.,Information Technology,EQ,INE619B01017
NAM-INDIA,Nippon Life India Asset Management Ltd.,Financial Services,EQ,INE298J01013
NIVABUPA,Niva Bupa Health Insurance Company Ltd.,Financial Services,EQ,INE995S01015
NUVAMA,Nuvama Wealth Management Ltd.,Financial Services,EQ,INE531F01023
NUVOCO,Nuvoco Vistas Corporation Ltd.,Construction Materials,EQ,INE118D01016
OBEROIRLTY,Oberoi Realty Ltd.,Realty,EQ,INE093I01010
ONGC,Oil & Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels,EQ,INE213A01029
OIL,Oil India Ltd.,Oil Gas & Consumable Fuels,EQ,INE274J01014
OLAELEC,Ola Electric Mobility Ltd.,Automobile and Auto Components,EQ,INE0LXG01040
OLECTRA,Olectra Greentech Ltd.,Automobile and Auto Components,EQ,INE260D01016
PAYTM,One 97 Communications Ltd.,Financial Services,EQ,INE982J01020
ONESOURCE,Onesource Specialty Pharma Ltd.,Healthcare,EQ,INE013P01021
OFSS,Oracle Financial Services Software Ltd.,Information Technology,EQ,INE881D01027
POLICYBZR,PB Fintech Ltd.,Financial Services,EQ,INE417T01026
PCBL,PCBL Chemical Ltd.,Chemicals,EQ,INE602A01031
PGEL,PG Electroplast Ltd.,Consumer Durables,EQ,INE457L01029
PIIND,PI Industries Ltd.,Chemicals,EQ,INE603J01030
PNBHOUSING,PNB Housing Finance Ltd.,Financial Services,EQ,INE572E01012
PTCIL,PTC Industries Ltd.,Capital Goods,EQ,INE596F01018
PVRINOX,PVR INOX Ltd.,Media Entertainment & Publication,EQ,INE191H01014
PAGEIND,Page Industries Ltd.,Textiles,EQ,INE761H01022
PARADEEP,Paradeep Phosphates Ltd.,Chemicals,EQ,INE088F01024
PATANJALI,Patanjali Foods Ltd.,Fast Moving Consumer Goods,EQ,INE619A01035
PERSISTENT,Persistent Systems Ltd.,Information Technology,EQ,INE262H01021
PETRONET,Petronet LNG Ltd.,Oil Gas & Consumable Fuels,EQ,INE347G01014
PFIZER,Pfizer Ltd.,Healthcare,EQ,INE182A01018
PHOENIXLTD,Phoenix Mills Ltd.,Realty,EQ,INE211B01039
PWL,Physicswallah Ltd.,Consumer Services,EQ,INE0LP301011
PIDILITIND,Pidilite Industries Ltd.,Chemicals,EQ,INE318A01026
PINELABS,Pine Labs Ltd.,Financial Services,EQ,INE15B701018
PIRAMALFIN,Piramal Finance Ltd.,Financial Services,EQ,INE202B01038
PPLPHARMA,Piramal Pharma Ltd.,Healthcare,EQ,INE0DK501011
POLYMED,Poly Medicure Ltd.,Healthcare,EQ,INE205C01021
POLYCAB,Polycab India Ltd.,Capital Goods,EQ,INE455K01017
POONAWALLA,Poonawalla Fincorp Ltd.,Financial Services,EQ,INE511C01022
PFC,Power Finance Corporation Ltd.,Financial Services,EQ,INE134E01011
